Segment Type,Start Point X,Start Point Y,End Point X,End Point Y
Left Turn,-5.033743619918823,-3.522189497947693,-5.035353899002075,-3.8221709728240967
Left Turn,-5.035353899002075,-3.8221709728240967,-4.979797840118408,-4.1186283826828
Left Turn,-4.979797840118408,-4.1186283826828,-4.885537624359131,-4.404821395874023
Left Turn,-4.885537624359131,-4.404821395874023,-4.747098445892334,-4.67200779914856
Left Turn,-4.747098445892334,-4.67200779914856,-4.558772563934326,-4.9065775871276855
Left Turn,-4.558772563934326,-4.9065775871276855,-4.323529958724976,-5.094030380249023
Left Turn,-4.323529958724976,-5.094030380249023,-4.052764415740967,-5.225226402282715
Left Turn,-4.052764415740967,-5.225226402282715,-3.761020541191101,-5.2993834018707275
Left Turn,3.17556989192963,-5.309978008270264,3.475502014160152,-5.281306505203247
Left Turn,3.475502014160152,-5.281306505203247,3.7679214477539062,-5.209463596343994
Left Turn,3.7679214477539062,-5.209463596343994,4.044942855834964,-5.090991020202635
Left Turn,4.044942855834964,-5.090991020202635,4.2989044189453125,-4.929158926010132
Left Turn,4.2989044189453125,-4.929158926010132,4.525230407714842,-4.730527400970461
Left Turn,4.525230407714842,-4.730527400970461,4.716594934463501,-4.497802019119263
Left Turn,4.716594934463501,-4.497802019119263,4.866780042648314,-4.236763954162601
Left Turn,4.866780042648314,-4.236763954162601,4.974277973175049,-3.9555180072784424
Left Turn,4.974277973175049,-3.9555180072784424,5.034102439880371,-3.6602519750595093
Right Turn,-0.308188796043396,1.2365911602973938,-0.007330369204282761,1.2191131711006165
Right Turn,-0.007330369204282761,1.2191131711006165,0.2860223539173603,1.1508545875549316
Right Turn,0.2860223539173603,1.1508545875549316,0.563851535320282,1.0351442098617554
Right Turn,0.563851535320282,1.0351442098617554,0.8147554844617844,0.8685226440429688
Right Turn,0.8147554844617844,0.8685226440429688,1.0282776355743408,0.6561800837516785
Right Turn,1.0282776355743408,0.6561800837516785,1.2003579139709473,0.4092078059911728
Right Turn,1.2003579139709473,0.4092078059911728,1.3295488953590393,0.13720808364450932
Right Turn,1.3295488953590393,0.13720808364450932,1.4157362580299377,-0.15150323323905468
Right Turn,1.4157362580299377,-0.15150323323905468,1.450616329908371,-0.45052170753479004
Right Turn,1.450616329908371,-0.45052170753479004,1.3927295207977288,-0.7463871538639085
Right Turn,1.3927295207977288,-0.7463871538639085,1.2908461689949036,-1.0299692749977112
Right Turn,1.2908461689949036,-1.0299692749977112,1.143800526857376,-1.2926869690418243
Right Turn,1.143800526857376,-1.2926869690418243,0.9518398344516754,-1.5243859887123108
Right Turn,0.9518398344516754,-1.5243859887123108,0.7186586856842025,-1.7145115137100229
Right Turn,0.7186586856842025,-1.7145115137100229,0.45227885246276683,-1.855014026165009
Right Turn,0.45227885246276683,-1.855014026165009,0.16265911608934402,-1.9376079440116882
Right Turn,0.16265911608934402,-1.9376079440116882,-0.1363276019692421,-1.974715530872345
